,country,iso3Code,region,continent,sub-region,immigration_flow,immigration_100k
0,Afghanistan,AFG,South Asia,Asia,,82620,215.93528927463473
1,Albania,ALB,Europe & Central Asia,Europe,,5615,198.38096927652023
2,Algeria,DZA,Middle East & North Africa,Africa,North Africa,40685,93.3183940948001
3,American Samoa,ASM,East Asia & Pacific,Oceania,,0,0.0
4,Andorra,AND,Europe & Central Asia,Europe,,0,0.0
5,Angola,AGO,Sub-Saharan Africa ,Africa,Central Africa,950,2.884697224760334
6,Antigua and Barbuda,ATG,Latin America & Caribbean ,Latin America & Caribbean ,,720,785.7281217005557
7,Argentina,ARG,Latin America & Caribbean ,South America,,3185,7.092196508788333
8,Armenia,ARM,Europe & Central Asia,Europe,,2075,69.7857241950469
9,Australia,AUS,East Asia & Pacific,Oceania,,16150,63.61724524860669
10,Austria,AUT,Europe & Central Asia,Europe,,910,10.210242926924337
11,Azerbaijan,AZE,Europe & Central Asia,Europe,,2525,25.217694871984243
12,"Bahamas, The",BHS,Latin America & Caribbean ,Latin America & Caribbean ,,2190,555.2833371260791
13,Bahrain,BHR,Middle East & North Africa,Asia,,130,8.673887678158733
14,Bangladesh,BGD,South Asia,Asia,,34580,20.8589225038565
15,Barbados,BRB,Latin America & Caribbean ,Latin America & Caribbean ,,1985,705.7194383042113
16,Belarus,BLR,Europe & Central Asia,Europe,,2300,24.57402234422364
17,Belgium,BEL,Europe & Central Asia,Europe,,4795,41.59841768121007
18,Belize,BLZ,Latin America & Caribbean ,Latin America & Caribbean ,,480,123.7129743015291
19,Benin,BEN,Sub-Saharan Africa ,Africa,Western Africa,4345,33.681568386689214
20,Bermuda,BMU,North America,North America,,0,0.0
21,Bhutan,BTN,South Asia,Asia,,630,82.09096101966095
22,Bolivia,BOL,Latin America & Caribbean ,South America,,1165,9.938223808864155
23,Bosnia and Herzegovina,BIH,Europe & Central Asia,Europe,,975,29.358241266704226
24,Botswana,BWA,Sub-Saharan Africa ,Africa,Austral Africa,400,17.002991144948478
25,Brazil,BRA,Latin America & Caribbean ,South America,,51115,24.616791483939096
26,British Virgin Islands,VGB,Latin America & Caribbean ,Latin America & Caribbean ,,0,0.0
27,Brunei Darussalam,BRN,East Asia & Pacific,Asia,,5,1.1254069049340651
28,Bulgaria,BGR,Europe & Central Asia,Europe,,2020,29.325169951245996
29,Burkina Faso,BFA,Sub-Saharan Africa ,Africa,Western Africa,3255,15.350311618989233
30,Burundi,BDI,Sub-Saharan Africa ,Africa,Eastern Africa,10995,88.44284575655178
31,Cabo Verde,CPV,Sub-Saharan Africa ,Africa,Western Africa,10,1.9387519187585396
32,Cambodia,KHM,East Asia & Pacific,Asia,,1950,11.728672146502783
33,Cameroon,CMR,Sub-Saharan Africa ,Africa,Central Africa,54935,212.2814754986516
34,Canada,CAN,North America,North America,,10615,28.058599466439894
35,Central African Republic,CAF,Sub-Saharan Africa ,Africa,Central Africa,3100,62.437496415508654
36,Chad,TCD,Sub-Saharan Africa ,Africa,Central Africa,1725,10.116819946263558
37,Chile,CHL,Latin America & Caribbean ,South America,,4945,25.863671918458717
