iso3Code,country,continent,sub-region,continent (DZ compare),sub-region (DZ compare),UMA,COMESA,CEA,CEEAC,CEDEAO,SADC,OCDE,UE,Euro,algeria
AFG,Afghanistan,Asia,Southern Asia,Asia,Southern Asia,no,no,no,no,no,no,no,no,no,no
ALB,Albania,Europe,Southern Europe,Europe,Southern Europe,no,no,no,no,no,no,no,no,no,no
DZA,Algeria,Africa,North Africa,Algeria,Algeria,yes,no,no,no,no,no,no,no,no,yes
ASM,American Samoa,Oceania,,Oceania,,no,no,no,no,no,no,no,no,no,no
AND,Andorra,Europe,Southern Europe,Europe,Southern Europe,no,no,no,no,no,no,no,no,no,no
AGO,Angola,Africa,Central Africa,Africa,Central Africa,no,no,no,yes,no,yes,no,no,no,no
ATG,Antigua and Barbuda,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
ARG,Argentina,South America,,South America,,no,no,no,no,no,no,no,no,no,no
ARM,Armenia,Asia,Western Asia,Asia,Western Asia,no,no,no,no,no,no,no,no,no,no
ABW,Aruba,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
AUS,Australia,Oceania,,Oceania,,no,no,no,no,no,no,yes,no,no,no
AUT,Austria,Europe,Western Europe,Europe,Western Europe,no,no,no,no,no,no,yes,yes,yes,no
AZE,Azerbaijan,Asia,Western Asia,Asia,Western Asia,no,no,no,no,no,no,no,no,no,no
BHS,"Bahamas, The",Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
BHR,Bahrain,Asia,Western Asia,Asia,Western Asia,no,no,no,no,no,no,no,no,no,no
BGD,Bangladesh,Asia,Southern Asia,Asia,Southern Asia,no,no,no,no,no,no,no,no,no,no
BRB,Barbados,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
BLR,Belarus,Europe,Eastern Europe,Europe,Eastern Europe,no,no,no,no,no,no,no,no,no,no
BEL,Belgium,Europe,Western Europe,Europe,Western Europe,no,no,no,no,no,no,yes,yes,yes,no
BLZ,Belize,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
BEN,Benin,Africa,Western Africa,Africa,Western Africa,no,no,no,no,yes,no,no,no,no,no
BMU,Bermuda,Latin America & Caribbean,,Latin America & Caribbean,,no,no,no,no,no,no,no,no,no,no
BTN,Bhutan,Asia,Southern Asia,Asia,Southern Asia,no,no,no,no,no,no,no,no,no,no
BOL,Bolivia,South America,,South America,,no,no,no,no,no,no,no,no,no,no
BIH,Bosnia and Herzegovina,Europe,Southern Europe,Europe,Southern Europe,no,no,no,no,no,no,no,no,no,no
BWA,Botswana,Africa,Austral Africa,Africa,Austral Africa,no,no,no,no,no,yes,no,no,no,no
BRA,Brazil,South America,,South America,,no,no,no,no,no,no,no,no,no,no
VGB,British Virgin Islands,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
BRN,Brunei Darussalam,Asia,South-Eastern Asia,Asia,South-Eastern Asia,no,no,no,no,no,no,no,no,no,no
BGR,Bulgaria,Europe,Eastern Europe,Europe,Eastern Europe,no,no,no,no,no,no,no,yes,no,no
BFA,Burkina Faso,Africa,Western Africa,Africa,Western Africa,no,no,no,no,no,no,no,no,no,no
BDI,Burundi,Africa,Eastern Africa,Africa,Eastern Africa,no,yes,no,no,no,no,no,no,no,no
CPV,Cabo Verde,Africa,Western Africa,Africa,Western Africa,no,no,no,no,yes,no,no,no,no,no
KHM,Cambodia,Asia,South-Eastern Asia,Asia,South-Eastern Asia,no,no,no,no,no,no,no,no,no,no
CMR,Cameroon,Africa,Central Africa,Africa,Central Africa,no,no,no,yes,no,no,no,no,no,no
CAN,Canada,North America,,North America,,no,no,no,no,no,no,yes,no,no,no
CYM,Cayman Islands,Latin America & Caribbean ,,Latin America & Caribbean ,,no,no,no,no,no,no,no,no,no,no
CAF,Central African Republic,Africa,Central Africa,Africa,Central Africa,no,no,no,yes,no,no,no,no,no,no
